Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 27587,24.04.2025,Diyarbakır,Adalet KAYA,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Diyarbakır'ın Lice ilçesinde kolluk tarafından yapılan bir uygulamaya ilişkin
7 / 36210,06.11.2025,Mersin,Ali BOZAN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Manavgat S Tipi Kapalı Cezaevinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 9349,07.02.2024,İstanbul,Gökhan GÜNAYDIN,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,CMK ücret tarifesinde yapılan güncellemeye ilişkin
7 / 9686,20.02.2024,İzmir,Mehmet Salih UZUN,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Rusya'dan ithal edilen petrol ve petrol ürünlerine ilişkin
7 / 9789,22.02.2024,Şanlıurfa,Mahmut TANAL,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Halfeti Belediyesinin borçlarına ilişkin
7 / 24731,21.02.2025,Van,Gülderen VARLİ,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Van Büyükşehir Belediyesine kayyım atanmasının ardından yaşanan olaylara ilişkin
7 / 17159,07.10.2024,Hakkari,Öznur BARTİN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Van Yüksek Güvenlikli Cezaevinde bulunan ağır hasta bir mahkuma ilişkin
7 / 37000,26.11.2025,Hakkari,Öznur BARTİN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Hakkari'nin Derecik ilçesinde bulunan Samanlı köyünün su ve altyapı sorununa ilişkin
7 / 34498,15.08.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kız çocuklarının eğitime erişimine ilişkin
7 / 28697,28.05.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir kişinin ayağındaki platin sebebiyle cezaevindeki yakınıyla görüştürülmediği iddiasına ilişkin
7 / 18853,01.11.2024,Şanlıurfa,Dilan KUNT AYAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,6 Şubat 2023 tarihli depremlerden etkilenen Şanlıurfa'da yürütülen enkaz kaldırma çalışmalarına ilişkin
7 / 38759,05.01.2026,Muş,Sümeyye BOZ ÇAKI,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Diyarbakır'da öldürülen bir kadına ilişkin
7 / 16635,20.09.2024,Çanakkale,Özgür CEYLAN,Milli Savunma Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Milli Savunma Üniversitesi Tören Yönergesi'nde yapılan değişikliğe ilişkin
7 / 24581,26.02.2025,Niğde,Ömer Fethi GÜRER,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Arazi toplulaştırma çalışmalarında zarar gördüğü gerekçesiyle tazminat ödenen çiftçilere ilişkin
7 / 21885,08.01.2025,Diyarbakır,Halide TÜRKOĞLU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlığın bir vakıfla imzaladığı protokole ilişkin
7 / 20699,17.12.2024,İzmir,Mehmet Salih UZUN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,İzmir'in Ödemiş ilçesine bağlı bazı köylerde yapılan maden arama faaliyetlerine ilişkin
7 / 33111,26.08.2025,Uşak,Ali KARAOBA,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Uşak'ta toplu taşımada kullanılan araçların ve binaların fiziki koşullarının engelli bireylerin erişimine uygun hale getirilmesine yönelik çalışmalara ilişkin
7 / 5863,30.10.2023,Ankara,Umut AKDOĞAN,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sağlıkta şiddetin önlenmesi amacıyla alınan tedbirlere ilişkin
7 / 21841,16.01.2025,Antalya,Aliye COŞAR,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ülke genelindeki icra dairesi ve icra dosyası sayısına ilişkin
7 / 3499,23.08.2023,Şanlıurfa,Ömer ÖCALAN,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Deprem bölgesinde asbestin oluşturduğu riskler ve sağlık hizmetine ulaşım konusunda yaşanan sorunlara ilişkin
7 / 31851,30.07.2025,Bitlis,Hüseyin OLAN,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Süresi Geçtikten Sonra Cevaplandı,Bitlis'te bulunan bir kamu kurumunun 2023'ten bu yana doğrudan temin usulüyle yaptığı harcamalara ilişkin
7 / 37562,05.12.2025,İzmir,İbrahim AKIN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Tunceli'de bir kadına zorla fuhuş yaptırıldığı iddiasına ilişkin
7 / 35736,23.10.2025,Gaziantep,Melih MERİÇ,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,34 yaş ve üzeri öğrencilerin KYK yurtlarından yararlandırılması talebine ilişkin
7 / 7573,18.12.2023,Batman,Zeynep ODUNCU KUTEVİ,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Batman Belediyesine ait ekmek fabrikasının bir vakıfa devredildiği iddiasına ilişkin
7 / 37713,09.12.2025,Hatay,Adnan Şefik ÇİRKİN,Dışişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,ABD'nin Türkiye Büyükelçisi'nin bir açıklamasına ilişkin
7 / 17595,11.10.2024,Ordu,Mustafa ADIGÜZEL,Tarım Ve Orman Bakanlığı,Cevaplandı,Ordu Tarım İl Müdürlüğüne ait lojmanların satılması kararına ilişkin
7 / 32747,14.08.2025,Gaziantep,Sevda KARACA DEMİR,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Varto Köylere Hizmet Götürme Birliğinin bazı uygulamalarıyla ilgili iddialara ilişkin
7 / 32169,01.08.2025,İzmir,Murat BAKAN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Şırnak İl Jandarma Komutanlığında görevli bir askerin şehit olduğu olaya ilişkin
7 / 9463,09.02.2024,Zonguldak,Eylem Ertuğ ERTUĞRUL,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Şehir hastanelerinin yabancı bir yatırımcıya satılacağı iddiasına ilişkin
7 / 26947,09.04.2025,Adana,Ayhan BARUT,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bakanlık tarafından yapılan yurt dışı görevlendirmelerine ilişkin
7 / 19174,13.11.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kocaeli ili Gebze ilçesinde bulunan bir fabrikada kurulan sendikanın yetkisine işveren tarafından itiraz edilmesine ilişkin
7 / 28028,05.05.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Diyarbakır'ın Lice ilçesinde yakalanan uyuşturucu maddenin imha sürecine ilişkin
7 / 16651,25.09.2024,Şanlıurfa,Mahmut TANAL,Tarım Ve Orman Bakanlığı,Cevaplandı,Şanlıurfa'daki sokak hayvanlarının bakımı ve aşılanmasına yönelik çalışmalara ilişkin
